#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 10AD-2m_S10_Buone_R1.fastq,10AD-2m_S10_Buone_R2.fastq --bowtie2out 10AD-2m_S10.bowtie2.bz2 --nproc 22 --input_type fastq -o 10AD-2m_S10.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:245849320
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	53.43135	-	0
k__Bacteria	2	46.56865	9.4062	245849320
k__Bacteria|p__Firmicutes	2|1239	21.23116	4.28839	107557870
k__Bacteria|p__Bacteroidetes	2|976	20.37666	4.11579	85568077
k__Bacteria|p__Bacteria_unclassified	2|35929085	3.04669	0.61539	15644209
k__Bacteria|p__Actinobacteria	2|201174	0.83615	0.16889	2878925
k__Bacteria|p__Proteobacteria	2|1224	0.54573	0.11023	2037448
k__Bacteria|p__Tenericutes	2|544448	0.49485	0.09995	1323210
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.03651	0.00737	106673
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00091	0.00018	1743
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.82338	3.80205	68523162
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.11889	2.64983	66120948
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	2.32732	0.47009	10354470
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.9299	0.38981	5137392
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	1.41347	0.2855	4931292
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.10214	0.22262	3285528
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.86938	0.1756	1738794
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.80497	0.16259	2590794
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.58599	0.11836	2422344
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.49493	0.09997	2326008
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.49485	0.09995	1134180
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.43171	0.0872	1414278
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.40444	0.08169	1053372
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.39406	0.07959	1238832
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.35672	0.07205	1088508
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.3145	0.06353	1285740
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.22799	0.04605	846990
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.21162	0.04274	683136
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.15755	0.03182	776088
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.15225	0.03075	396252
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.15167	0.03063	507552
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.13967	0.02821	542592
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.13857	0.02799	471468
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.13179	0.02662	250254
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.11845	0.02393	809628
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.08777	0.01773	209712
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.08192	0.01655	274014
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.07671	0.0155	290910
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.05237	0.01058	113430
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.0522	0.01054	164388
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.04703	0.0095	229302
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.04569	0.00923	173358
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.04275	0.00863	165312
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.03651	0.00737	218886
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.03389	0.00684	84504
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.03137	0.00634	77148
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.02772	0.0056	57366
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.02455	0.00496	59010
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.02317	0.00468	49542
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.01837	0.00371	64086
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.01815	0.00367	80232
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01692	0.00342	76458
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.01493	0.00301	69564
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.01271	0.00257	24282
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00827	0.00167	33210
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.00525	0.00106	10926
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00443	0.00089	7752
k__Bacteria|p__Firmicutes|c__CFGB3507	2|1239|	0.00231	0.00047	9252
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.0023	0.00046	8364
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.00143	0.00029	4446
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00091	0.00018	0
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.00084	0.00017	2988
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.82338	3.80205	57102635
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	11.51553	2.32597	51808395
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	2.32732	0.47009	8628725
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.9299	0.38981	4281160
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.60336	0.32386	3292395
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	1.41347	0.2855	4109410
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.10214	0.22262	2737940
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.86938	0.1756	1448995
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.80497	0.16259	2158995
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.58599	0.11836	2018620
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	0.49493	0.09997	1938340
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.49485	0.09995	945150
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	0.39406	0.07959	1032360
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.36378	0.07348	1027420
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.35672	0.07205	907090
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.3145	0.06353	1071450
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.25884	0.05228	502615
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.22799	0.04605	705825
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.21162	0.04274	569280
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.15755	0.03182	646740
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.15225	0.03075	330210
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.15167	0.03063	422960
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.1456	0.02941	375195
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.13967	0.02821	452160
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.13857	0.02799	392890
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.13179	0.02662	208545
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.11845	0.02393	674690
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.08777	0.01773	174760
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.08192	0.01655	228345
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.07671	0.0155	242425
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.06794	0.01372	151145
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.05237	0.01058	94525
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	2|976||	0.0522	0.01054	136990
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.04703	0.0095	191085
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.04569	0.00923	144465
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.04275	0.00863	137760
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197	2|976||	0.03651	0.00737	182405
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.03389	0.00684	70420
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.03137	0.00634	64290
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.02772	0.0056	47805
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.02455	0.00496	49175
k__Bacteria|p__Firmicutes|c__CFGB9511|o__OFGB9511	2|1239||	0.02317	0.00468	41285
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.01837	0.00371	53405
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.01815	0.00367	66860
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.01692	0.00342	63715
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644	2|35929085||	0.01493	0.00301	57970
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439	2|1239||	0.01271	0.00257	20235
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.00827	0.00167	27675
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253	2|1239||	0.00525	0.00106	9105
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510	2|1239||	0.00443	0.00089	6460
k__Bacteria|p__Firmicutes|c__CFGB3507|o__OFGB3507	2|1239||	0.00231	0.00047	7710
k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836	2|1239||	0.0023	0.00046	6970
k__Bacteria|p__Firmicutes|c__CFGB9575|o__OFGB9575	2|1239||	0.00143	0.00029	3705
k__Bacteria|p__Proteobacteria|c__CFGB9318|o__OFGB9318	2|1224||	0.00091	0.00018	0
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349	2|1239||	0.00084	0.00017	2490
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	10.6913	2.15949	28661324
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	9.70457	1.96018	37159032
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|	3.00938	0.60785	6006096
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2|35929085|||	2.32732	0.47009	6902980
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.92885	0.3896	3423280
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	1.90219	0.38422	4618232
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.74294	0.35205	2733332
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	1.60336	0.32386	2633916
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348|f__FGB10348	2|1239|||	1.41347	0.2855	3287528
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.32904	0.26845	3227720
