#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 6AD-12m_S9_Buone_R1.fastq,6AD-12m_S9_Buone_R2.fastq --bowtie2out 6AD-12m_S9.bowtie2.bz2 --nproc 22 --input_type fastq -o 6AD-12m_S9.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:284336432
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	54.21301	-	0
k__Bacteria	2	45.78699	11.92964	284336432
k__Bacteria|p__Bacteroidetes	2|976	27.32185	7.11861	152754518
k__Bacteria|p__Firmicutes	2|1239	15.3282	3.99371	80497123
k__Bacteria|p__Actinobacteria	2|201174	1.73614	0.45234	7382921
k__Bacteria|p__Proteobacteria	2|1224	0.63397	0.16518	3232929
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.62129	0.16187	4400417
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.07635	0.01989	287770
k__Bacteria|p__Tenericutes	2|544448	0.06921	0.01803	238700
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.99774	6.77362	125632248
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.00379	2.08536	38505990
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	2.16967	0.5653	9084660
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.39285	0.3629	4629900
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.12118	0.29212	4356918
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.84774	0.22088	3318630
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.66114	0.17226	3504108
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.61496	0.16023	1971300
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.50323	0.13111	2462892
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.4302	0.11209	1786032
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.38451	0.10018	1759470
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.36268	0.0945	1591770
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.281	0.07321	1774368
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.27675	0.07211	1252176
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.24946	0.06499	1011612
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.21288	0.05547	594768
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.18812	0.04901	740484
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.18622	0.04852	775422
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.1633	0.04255	548226
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.15021	0.03914	628578
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.11886	0.03097	326706
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.10991	0.02864	588474
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.09197	0.02396	283452
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.08861	0.02309	448416
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.08016	0.02089	481932
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.07635	0.01989	518124
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.07347	0.01914	347598
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.06921	0.01803	204600
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.06648	0.01732	270066
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.06253	0.01629	201138
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.04892	0.01275	211086
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.03475	0.00905	110268
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.03242	0.00845	79908
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.02487	0.00648	73536
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.02293	0.00598	61572
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.02268	0.00591	110964
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.0191	0.00498	51000
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.01307	0.00341	83064
k__Bacteria|p__Firmicutes|c__CFGB9508	2|1239|	0.00917	0.00239	23826
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.00912	0.00238	57348
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00867	0.00226	19572
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00792	0.00206	41028
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.0071	0.00185	21186
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00635	0.00165	36996
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.00531	0.00138	23910
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.00519	0.00135	20946
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.00323	0.00084	14796
k__Bacteria|p__Firmicutes|c__CFGB3507	2|1239|	0.00248	0.00065	12786
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.00162	0.00042	9222
k__Bacteria|p__Firmicutes|c__CFGB9495	2|1239|	0.00039	0.0001	1086
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00023	6e-05	1062
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	25.99774	6.77362	104693540
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	6.42449	1.67388	27935800
k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371	2|1239||	2.16967	0.5653	7570550
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.5793	0.41148	4152525
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.35128	0.35207	3735150
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.84774	0.22088	2765525
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.66865	0.17422	2332110
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.66114	0.17226	2920090
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.50323	0.13111	2052410
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.4955	0.1291	1241140
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.45252	0.1179	1298655
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.4302	0.11209	1488360
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.38451	0.10018	1466225
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.36268	0.0945	1326475
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.281	0.07321	1478640
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.27675	0.07211	1043480
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	0.24946	0.06499	843010
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.21288	0.05547	495640
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.18812	0.04901	617070
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.18622	0.04852	646185
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.1633	0.04255	456855
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.15021	0.03914	523815
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.11946	0.03112	401610
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.11886	0.03097	272255
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.10991	0.02864	490395
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.09197	0.02396	236210
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.08861	0.02309	373680
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644	2|35929085||	0.08016	0.02089	401610
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197	2|976||	0.07635	0.01989	431770
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.07347	0.01914	289665
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.06921	0.01803	170500
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	2|976||	0.06648	0.01732	225055
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.06253	0.01629	167615
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.04892	0.01275	175905
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.04158	0.01083	123100
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.03475	0.00905	91890
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439	2|1239||	0.03242	0.00845	66590
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.02487	0.00648	61280
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253	2|1239||	0.02293	0.00598	51310
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.02268	0.00591	92470
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.0191	0.00498	42500
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.01307	0.00341	69220
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508	2|1239||	0.00917	0.00239	19855
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.00912	0.00238	47790
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510	2|1239||	0.00867	0.00226	16310
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.00792	0.00206	34190
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.0071	0.00185	17655
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.00635	0.00165	30830
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.00531	0.00138	19925
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850	2|1239||	0.00519	0.00135	17455
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349	2|1239||	0.00323	0.00084	12330
k__Bacteria|p__Firmicutes|c__CFGB3507|o__OFGB3507	2|1239||	0.00248	0.00065	10655
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.00162	0.00042	7685
k__Bacteria|p__Firmicutes|c__CFGB9495|o__OFGB9495	2|1239||	0.00039	0.0001	905
k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836	2|1239||	0.00023	6e-05	885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	17.59393	4.58404	60745068
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	4.06078	1.05802	15400024
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|	3.79509	0.9888	9797212
k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371|f__FGB11371	2|1239|||	2.16967	0.5653	6056440
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	1.78679	0.46554	5595764
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	1.5793	0.41148	3322020
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.33116	0.34683	2942696
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	1.25413	0.32676	3370740
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.25018	0.32573	2555248
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	1.06299	0.27696	3235036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.87259	0.22735	2803780
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.84774	0.22088	2212420
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.66865	0.17422	1865688
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636|f__FGB9636	2|1239|||	0.66114	0.17226	2336072
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618|f__FGB9618	2|1239|||	0.50323	0.13111	1641928
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae	2|201174|1760|85011|2062	0.4955	0.1291	992912
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.45252	0.1179	1038924
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636|f__FGB636	2|976|||	0.4302	0.11209	1190688
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.38451	0.10018	1172980
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637|f__FGB637	2|976|||	0.36268	0.0945	1061180
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	0.35751	0.09315	698136
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.31763	0.08276	1690800
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2|35929085|||	0.281	0.07321	1182912
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348|f__FGB10348	2|1239|||	0.27675	0.07211	834784
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469|f__FGB9469	2|1224|||	0.24946	0.06499	674408
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506	2|1239|||	0.21288	0.05547	396512
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388|f__FGB9388	2|976|||	0.18812	0.04901	493656
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960|f__FGB9960	2|1239|||	0.18622	0.04852	516948
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827	2|1239|||	0.1633	0.04255	365484
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157	2|1239|||	0.15021	0.03914	419052
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299	2|1239|||	0.11886	0.03097	217804
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0.11696	0.03047	313972
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123|f__FGB8123	2|35929085|||	0.10991	0.02864	392316
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395|f__FGB9395	2|976|||	0.09197	0.02396	188968
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633	2|1239|||	0.08861	0.02309	298944
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644	2|35929085|||	0.08016	0.02089	321288
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197|f__FGB10197	2|976|||	0.07635	0.01989	345416
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658|f__FGB9658	2|1239|||	0.07347	0.01914	231732
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmatales_unclassified	2|544448|31969|186329|730680	0.06921	0.01803	136400
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425	2|976|||	0.06648	0.01732	180044
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340|f__FGB10340	2|1239|||	0.06253	0.01629	134092
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.05007	0.01304	135992
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650|f__FGB9650	2|1239|||	0.04892	0.01275	140724
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0.04158	0.01083	98480
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384|f__FGB9384	2|976|||	0.03475	0.00905	73512
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439|f__FGB31439	2|1239|||	0.03242	0.00845	53272
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516|f__FGB9516	2|1239|||	0.02487	0.00648	49024
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253|f__FGB10253	2|1239|||	0.02293	0.00598	41048
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990|f__FGB9990	2|1239|||	0.02268	0.00591	73976
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398|f__FGB28398	2|1239|||	0.0191	0.00498	34000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.01691	0.00441	58592
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479	2|1239|||	0.01307	0.00341	55376
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.01041	0.00271	21112
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	2|1239|91061|186826|186827	0.00971	0.00253	24312
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508|f__FGB9508	2|1239|||	0.00917	0.00239	15884
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639|f__FGB9639	2|1239|||	0.00912	0.00238	38232
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510|f__FGB9510	2|1239|||	0.00867	0.00226	13048
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941|f__FGB28941	2|1239|||	0.00792	0.00206	27352
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512	2|1239|||	0.0071	0.00185	14124
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||7485543	0.00635	0.00165	24664
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629|f__FGB9629	2|1239|||	0.00531	0.00138	15940
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850|f__FGB9850	2|1239|||	0.00519	0.00135	13964
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.00364	0.00095	17080
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349|f__FGB10349	2|1239|||	0.00323	0.00084	9864
