#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 8AD-6m_S8_Buone_R1.fastq,8AD-6m_S8_Buone_R2.fastq --bowtie2out 8AD-6m_S8.bowtie2.bz2 --nproc 22 --input_type fastq -o 8AD-6m_S8.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:227407000
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	45.01806	-	0
k__Bacteria	2	54.98194	9.72707	227407000
k__Bacteria|p__Bacteroidetes	2|976	35.17738	6.22337	134524061
k__Bacteria|p__Firmicutes	2|1239	18.29565	3.23676	59462802
k__Bacteria|p__Actinobacteria	2|201174	0.83521	0.14776	2326583
k__Bacteria|p__Proteobacteria	2|1224	0.35125	0.06214	1200570
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.3083	0.05454	1435525
k__Bacteria|p__Tenericutes	2|544448	0.01024	0.00181	23982
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00271	0.00048	4550
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00119	0.00021	3052
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	33.01148	5.84019	109463058
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.60772	1.34591	17034618
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.66595	0.82547	12380046
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.16939	0.56071	12598242
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.81543	0.14426	2298708
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.68218	0.12069	1939500
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.60949	0.10783	1628994
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.52483	0.09285	1707732
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.51394	0.09092	1073718
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.33236	0.0588	990450
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.32535	0.05756	957738
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.32127	0.05684	920496
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.31769	0.0562	1137564
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.24898	0.04405	764928
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.2295	0.0406	762666
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.2173	0.03844	454740
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.2142	0.03789	430386
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.15109	0.02673	643014
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.10654	0.01885	373740
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.0849	0.01502	234192
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.08383	0.01483	283944
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.07051	0.01247	151914
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.05099	0.00902	197418
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.04942	0.00874	112656
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.03778	0.00668	231402
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.0353	0.00625	77106
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.0346	0.00612	114906
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.03201	0.00566	107406
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.0259	0.00458	71322
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.02571	0.00455	109800
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.02102	0.00372	59418
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.01865	0.0033	65646
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.01676	0.00296	52176
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.01289	0.00228	52614
