#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 2AD-2m_S6_Buone_R1.fastq,2AD-2m_S6_Buone_R2.fastq --bowtie2out 2AD-2m_S6.bowtie2.bz2 --nproc 22 --input_type fastq -o 2AD-2m_S6.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:322878552
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	53.33611	-	0
k__Bacteria	2	46.66389	13.34851	322878552
k__Bacteria|p__Bacteroidetes	2|976	29.41282	8.41373	182969304
k__Bacteria|p__Firmicutes	2|1239	15.16399	4.33776	87010476
k__Bacteria|p__Actinobacteria	2|201174	0.80909	0.23144	4039364
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.79265	0.22674	5977916
k__Bacteria|p__Proteobacteria	2|1224	0.41171	0.11777	2242324
k__Bacteria|p__Tenericutes	2|544448	0.07193	0.02058	272384
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00153	0.00044	6342
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00013	4e-05	357
k__Bacteria|p__Verrucomicrobia	2|74201	5e-05	1e-05	266
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	27.55645	7.8827	148636254
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.24805	1.7873	37190892
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.80927	1.08967	14107728
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.70911	0.77496	11495634
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.75841	0.21695	3456912
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.46673	0.13351	3075024
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.46344	0.13257	2156784
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.43462	0.12432	1878216
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.43045	0.12313	2096262
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.35176	0.10062	1074264
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.34684	0.09922	1671270
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.34564	0.09887	1305528
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.33174	0.0949	1565934
