#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 5AD-6m_S6_Buone_R1.fastq,5AD-6m_S6_Buone_R2.fastq --bowtie2out 5AD-6m_S6.bowtie2.bz2 --nproc 22 --input_type fastq -o 5AD-6m_S6.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:221810504
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.76555	0.13382	2094760
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.56441	0.09866	1211070
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	0.55911	0.09773	1895015
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.49125	0.08587	1179435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.48612	0.08497	1105110
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.45578	0.07967	1153400
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.44858	0.07841	987165
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.4474	0.07821	1096750
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.43761	0.0765	1015750
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.39312	0.06872	964615
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.37285	0.06518	642465
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.21648	0.03784	729350
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.18288	0.03197	460265
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.16354	0.02859	438145
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.15007	0.02623	288935
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.14959	0.02615	441050
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.14836	0.02593	426890
