#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 6WT-12m_S4_Buone_R1.fastq,6WT-12m_S4_Buone_R2.fastq --bowtie2out 6WT-12m_S4.bowtie2.bz2 --nproc 22 --input_type fastq -o 6WT-12m_S4.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:206003328
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	60.15062	-	0
k__Bacteria	2	39.84938	7.87291	206003328
k__Bacteria|p__Firmicutes	2|1239	21.93783	4.33419	103597879
k__Bacteria|p__Bacteroidetes	2|976	12.76999	2.52292	52023734
k__Bacteria|p__Bacteria_unclassified	2|35929085	3.91951	0.77436	20614755
k__Bacteria|p__Actinobacteria	2|201174	0.70783	0.13984	2399117
k__Bacteria|p__Proteobacteria	2|1224	0.23611	0.04665	879284
k__Bacteria|p__Tenericutes	2|544448	0.23374	0.04618	611352
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04436	0.00876	126791
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.81031	2.92602	62795946
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.90012	2.35107	42094014
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	3.06799	0.60613	13908114
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.75441	0.14905	2589006
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.72163	0.14257	2146134
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.6716	0.13269	3087264
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.62443	0.12337	2501880
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.50002	0.09879	1854690
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.4571	0.09031	2041392
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.45451	0.0898	1140462
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.44291	0.0875	1367568
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.3114	0.06152	1264824
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.29855	0.05898	657960
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.26877	0.0531	822540
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.26493	0.05234	688818
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.24708	0.04881	777822
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.24226	0.04786	616710
