#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 8WT-12m_S3_Buone_R1.fastq,8WT-12m_S3_Buone_R2.fastq --bowtie2out 8WT-12m_S3.bowtie2.bz2 --nproc 22 --input_type fastq -o 8WT-12m_S3.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:199832096
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	54.39113	-	0
k__Bacteria	2	45.60887	8.48574	199832096
k__Bacteria|p__Bacteroidetes	2|976	22.40957	4.16941	86003029
k__Bacteria|p__Firmicutes	2|1239	21.0383	3.91428	79592968
k__Bacteria|p__Bacteria_unclassified	2|35929085	1.14707	0.21342	5842942
k__Bacteria|p__Actinobacteria	2|201174	0.62652	0.11657	2141027
k__Bacteria|p__Proteobacteria	2|1224	0.18107	0.03369	634109
k__Bacteria|p__Verrucomicrobia	2|74201	0.09384	0.01746	349398
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.06484	0.01206	174517
k__Bacteria|p__Tenericutes	2|544448	0.04441	0.00826	109389
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00324	0.0006	5705
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	21.16228	3.93734	70489938
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.9766	1.67014	36016662
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.8646	1.27719	16384602
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.79752	0.33444	5012106
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.73311	0.1364	1467552
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.73009	0.13584	3173574
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.63332	0.11783	2441844
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.47371	0.08814	1621026
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.45599	0.08484	1003578
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.39199	0.07293	452340
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.35003	0.06512	954318
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2765	0.05144	880848
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.27517	0.0512	773430
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.22054	0.04103	653820
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.2023	0.03764	590886
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.13739	0.02556	315612
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.12775	0.02377	446244
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.12369	0.02301	501966
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.11409	0.02123	341136
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.10291	0.01915	317184
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.09517	0.01771	276108
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.09384	0.01746	299484
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.08152	0.01517	169302
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.07816	0.01454	226338
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.07015	0.01305	255654
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.06684	0.01244	151452
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.06484	0.01206	185574
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.05839	0.01086	182982
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.05599	0.01042	134226
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.0474	0.00882	165660
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.04479	0.00833	193914
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.04441	0.00826	93762
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.04429	0.00824	200520
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.03533	0.00657	108852
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.02903	0.0054	51108
k__Bacteria|p__Firmicutes|c__CFGB9508	2|1239|	0.02606	0.00485	55956
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.02405	0.00447	97926
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.02396	0.00446	77010
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.01967	0.00366	58494
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.01865	0.00347	83772
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.01362	0.00253	52098
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.01268	0.00236	27654
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.01152	0.00214	22980
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.01137	0.00212	48828
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.007	0.0013	13350
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.00489	0.00091	22200
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00424	0.00079	14238
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00324	0.0006	0
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00291	0.00054	10770
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.00269	0.0005	7680
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.0009	0.00017	2604
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00086	0.00016	3564
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.00018	3e-05	594
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	21.16228	3.93734	58741615
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	7.64516	1.42242	27374270
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	6.8646	1.27719	13653835
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.79752	0.33444	4176755
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.33144	0.24772	2639615
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.73311	0.1364	1222960
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.73009	0.13584	2644645
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.63332	0.11783	2034870
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.47371	0.08814	1350855
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.45599	0.08484	836315
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.39199	0.07293	376950
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.31593	0.05878	734290
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.2765	0.05144	734040
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.27517	0.0512	644525
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.22054	0.04103	544850
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.2023	0.03764	492405
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.13739	0.02556	263010
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.12775	0.02377	371870
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.12369	0.02301	418305
