#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 10WT-2m_S5_Buone_R1.fastq,10WT-2m_S5_Buone_R2.fastq --bowtie2out 10WT-2m_S5.bowtie2.bz2 --nproc 22 --input_type fastq -o 10WT-2m_S5.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:332623184
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	50.30063	-	0
k__Bacteria	2	49.69937	15.02791	332623184
k__Bacteria|p__Firmicutes	2|1239	28.64461	8.66145	157719401
k__Bacteria|p__Bacteroidetes	2|976	19.63734	5.93786	124317641
k__Bacteria|p__Actinobacteria	2|201174	0.63135	0.1909	3739470
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.39195	0.11852	3085796
k__Bacteria|p__Proteobacteria	2|1224	0.3566	0.10783	2037238
k__Bacteria|p__Tenericutes	2|544448	0.03361	0.01016	134547
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0039	0.00118	11193
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	21.3115	6.44409	85876074
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.03213	5.45249	99536538
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	5.37366	1.62487	38727162
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.81375	0.24606	3717306
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.57761	0.17466	2959056
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.36428	0.11015	1914048
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.36423	0.11013	1302792
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.35216	0.10649	2477658
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.2568	0.07765	1237308
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.2562	0.07747	1166778
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.24604	0.0744	476280
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.24355	0.07364	1214154
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.16387	0.04955	491322
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.12534	0.0379	445524
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.11305	0.03418	532050
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.11216	0.03391	759900
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.09926	0.03001	677022
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.09754	0.0295	554040
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.07744	0.02342	451626
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.06435	0.01946	303402
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.05374	0.01625	246204
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.04817	0.01456	177366
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.04712	0.01425	240012
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.04154	0.01256	256176
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.04026	0.01217	116364
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.03361	0.01016	115326
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.03286	0.00994	217452
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.02275	0.00688	70158
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.02225	0.00673	107532
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.02203	0.00666	85848
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.02075	0.00628	152712
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.01425	0.00431	66744
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.01414	0.00428	75246
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.01209	0.00365	89136
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.01134	0.00343	82740
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.01133	0.00343	29682
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.0112	0.00339	63594
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.0084	0.00254	24024
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00831	0.00251	49968
k__Bacteria|p__Firmicutes|c__CFGB9517	2|1239|	0.00515	0.00156	19632
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00511	0.00155	35664
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.0039	0.00118	0
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.00256	0.00077	13362
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.00242	0.00073	9012
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.0024	0.00073	11160
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00101	0.00031	5508
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6e-05	2e-05	390
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	21.3115	6.44409	71563395
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.03213	5.45249	82947115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.65598	1.40786	30308530
