#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 10AD-6m_S10_Buone_R1.fastq,10AD-6m_S10_Buone_R2.fastq --bowtie2out 10AD-6m_S10.bowtie2.bz2 --nproc 22 --input_type fastq -o 10AD-6m_S10.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:219441896
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	51.34762	-	0
k__Bacteria	2	48.65238	9.21968	219441896
k__Bacteria|p__Bacteroidetes	2|976	28.25006	5.35342	112153678
k__Bacteria|p__Firmicutes	2|1239	17.49139	3.31464	68004398
k__Bacteria|p__Bacteria_unclassified	2|35929085	1.68567	0.31944	8011528
k__Bacteria|p__Actinobacteria	2|201174	0.5506	0.10434	1819993
k__Bacteria|p__Proteobacteria	2|1224	0.28472	0.05395	1025976
k__Bacteria|p__Tenericutes	2|544448	0.28149	0.05334	706181
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.10061	0.01907	275821
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00784	0.00149	14084
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.92585	4.91298	89641212
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.45836	1.22387	15651876
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.08568	1.15324	26872896
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	1.44567	0.27396	5890716
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.20471	0.22829	3459048
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.86685	0.16427	2639880
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.75994	0.14401	2294700
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.47654	0.09031	2101164
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.47548	0.0901	950688
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.44249	0.08385	1575090
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.40214	0.07621	901440
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.35781	0.0678	1024350
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.32532	0.06165	1038474
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.3187	0.06039	980886
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.28149	0.05334	605298
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.26046	0.04936	800598
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.2319	0.04395	579108
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.21268	0.0403	666936
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.17333	0.03285	664800
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.14866	0.02817	186360
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.12617	0.02391	439764
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.11255	0.02133	400434
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.10061	0.01907	810792
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.09606	0.0182	195198
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.09217	0.01747	272340
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.08334	0.01579	323850
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.07458	0.01413	182100
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.07204	0.01365	212472
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.06431	0.01219	148416
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.05954	0.01128	139308
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.0499	0.00946	191034
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.03024	0.00573	68412
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.02625	0.00497	121320
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.02303	0.00436	49770
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.02294	0.00435	86412
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.02286	0.00433	94800
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.02265	0.00429	45444
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.02039	0.00386	36552
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.01881	0.00356	59010
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.01806	0.00342	59118
k__Bacteria|p__Firmicutes|c__CFGB28755	2|1239|	0.01718	0.00326	104448
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.01553	0.00294	30114
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.01102	0.00209	21516
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.00895	0.0017	27114
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.008	0.00152	34968
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00784	0.00149	0
