#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 9WT-12m_S5_Buone_R1.fastq,9WT-12m_S5_Buone_R2.fastq --bowtie2out 9WT-12m_S5.bowtie2.bz2 --nproc 22 --input_type fastq -o 9WT-12m_S5.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:187488912
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	61.54859	-	0
k__Bacteria	2	38.45141	7.38433	187488912
k__Bacteria|p__Firmicutes	2|1239	21.1524	4.06217	95345047
k__Bacteria|p__Bacteroidetes	2|976	12.34064	2.36993	46830770
k__Bacteria|p__Bacteria_unclassified	2|35929085	3.56978	0.68555	17039652
k__Bacteria|p__Proteobacteria	2|1224	0.63445	0.12184	2248099
k__Bacteria|p__Actinobacteria	2|201174	0.61679	0.11845	2232447
k__Bacteria|p__Tenericutes	2|544448	0.09886	0.01899	251342
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.03696	0.0071	102676
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00152	0.00029	2765
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.77672	2.26164	38508084
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.87402	2.08828	50961840
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.73476	0.90928	11442996
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	1.73926	0.33401	7156764
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.26997	0.24389	3662562
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	1.09724	0.21072	4309956
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.70674	0.13572	1608006
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.64229	0.12335	2033628
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.60612	0.1164	2708364
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.47969	0.09212	1433826
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.39255	0.07539	1262304
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.32226	0.06189	1205070
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.27141	0.05212	579210
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.24391	0.04684	861504
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.22424	0.04306	651222
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.21489	0.04127	657588
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.17126	0.03289	306186
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.15678	0.03011	565560
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.15476	0.02972	493116
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.14098	0.02707	348846
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.11611	0.0223	336858
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.09893	0.019	314604
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.09886	0.01899	215436
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.09284	0.01783	430380
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.08608	0.01653	310356
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.07245	0.01391	276774
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.07227	0.01388	164178
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.07025	0.01349	233082
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.06862	0.01318	221970
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.06405	0.0123	269166
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.04488	0.00862	134388
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.04319	0.00829	202260
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.04312	0.00828	158538
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.04139	0.00795	85230
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.03949	0.00758	90594
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.03934	0.00756	120744
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.03696	0.0071	89220
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.02755	0.00529	65322
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.02729	0.00524	117252
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.02654	0.0051	117612
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.01213	0.00233	28374
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.01054	0.00202	20682
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.00926	0.00178	43284
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.00913	0.00175	18570
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.00619	0.00119	19104
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.00599	0.00115	10890
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00583	0.00112	20196
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.00295	0.00057	8700
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00251	0.00048	4170
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.002	0.00038	5940
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00152	0.00029	0
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.00132	0.00025	6126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	11.77672	2.26164	32090070
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	10.41465	2.00006	41628170
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.73476	0.90928	9535830
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	1.73926	0.33401	5963970
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.26997	0.24389	3052135
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	1.09724	0.21072	3591630
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.70674	0.13572	1340005
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.64229	0.12335	1694690
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	0.60612	0.1164	2256970
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	0.47969	0.09212	1194855
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.45938	0.08822	840030
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.36556	0.0702	994830
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.32226	0.06189	1004225
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.27141	0.05212	482675
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.24391	0.04684	717920
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.21489	0.04127	547990
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.21159	0.04063	519330
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.17126	0.03289	255155
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.15678	0.03011	471300
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.15476	0.02972	410930
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.14098	0.02707	290705
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.11611	0.0223	280715
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.09893	0.019	262170
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.09886	0.01899	179530
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.09284	0.01783	358650
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.08608	0.01653	258630
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.07245	0.01391	230645
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.07227	0.01388	136815
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.07025	0.01349	194235
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.06862	0.01318	184975
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.06405	0.0123	224305
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	2|976||	0.04488	0.00862	111990
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.04319	0.00829	168550
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.04312	0.00828	132115
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.04139	0.00795	71025
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.03949	0.00758	75495
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.03934	0.00756	100620
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197	2|976||	0.03696	0.0071	74350
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.02755	0.00529	54435
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.02729	0.00524	97710
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.02699	0.00518	57090
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644	2|35929085||	0.02654	0.0051	98010
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.01265	0.00243	23355
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.01213	0.00233	23645
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.01054	0.00202	17235
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.00926	0.00178	36070
k__Bacteria|p__Firmicutes|c__CFGB9511|o__OFGB9511	2|1239||	0.00913	0.00175	15475
k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371	2|1239||	0.00619	0.00119	15920
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439	2|1239||	0.00599	0.00115	9075
k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836	2|1239||	0.00583	0.00112	16830
k__Bacteria|p__Firmicutes|c__CFGB9575|o__OFGB9575	2|1239||	0.00295	0.00057	7250
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510	2|1239||	0.00251	0.00048	3475
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850	2|1239||	0.002	0.00038	4950
k__Bacteria|p__Proteobacteria|c__CFGB9318|o__OFGB9318	2|1224||	0.00152	0.00029	0
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.00132	0.00025	5105
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.90633	1.51836	26808764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	5.72698	1.09983	14953904
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	4.73408	0.90915	7627644
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.71355	0.52112	4047764
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.01041	0.38609	5120276
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2|35929085|||	1.73926	0.33401	4771176
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|	1.57831	0.3031	3005340
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	1.36596	0.26232	2742916
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.26997	0.24389	2441708
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123|f__FGB8123	2|35929085|||	1.09724	0.21072	2873304
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157	2|1239|||	0.70674	0.13572	1072004
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348|f__FGB10348	2|1239|||	0.64229	0.12335	1355752
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660|f__FGB9660	2|1239|||	0.60612	0.1164	1805576
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469|f__FGB9469	2|1224|||	0.47969	0.09212	955884
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.47129	0.09051	1295800
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.45938	0.08822	672024
