#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 9AD-12m_S11_Buone_R1.fastq,9AD-12m_S11_Buone_R2.fastq --bowtie2out 9AD-12m_S11.bowtie2.bz2 --nproc 22 --input_type fastq -o 9AD-12m_S11.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:221261048
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	55.98205	-	0
k__Bacteria	2	44.01795	8.50423	221261048
k__Bacteria|p__Firmicutes	2|1239	20.31971	3.92575	98361480
k__Bacteria|p__Bacteroidetes	2|976	19.15408	3.70055	76356805
k__Bacteria|p__Bacteria_unclassified	2|35929085	2.46984	0.47717	11938549
k__Bacteria|p__Actinobacteria	2|201174	1.13062	0.21843	3788855
k__Bacteria|p__Proteobacteria	2|1224	0.70327	0.13587	2537290
k__Bacteria|p__Tenericutes	2|544448	0.19629	0.03792	502040
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.03894	0.00752	108843
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00522	0.00101	9555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.11994	3.50076	62486556
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.31013	2.57151	62394390
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	1.6919	0.32687	7019154
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.56038	0.30146	3842604
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.91042	0.17589	2826696
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.90053	0.17398	2635740
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.77857	0.15042	2766540
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.60058	0.11603	1885152
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.56062	0.10831	1875726
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.55452	0.10713	2202330
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.53003	0.1024	1362438
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.52274	0.10099	1571892
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.44434	0.08585	1738704
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.24055	0.04647	782850
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.23263	0.04494	716154
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.23186	0.0448	577182
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.22301	0.04308	468912
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.20808	0.0402	752292
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.19629	0.03792	430320
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.18053	0.03488	602928
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.15804	0.03053	361188
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.15248	0.02946	315888
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.14481	0.02798	422664
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.14005	0.02706	508248
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.13746	0.02656	424440
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.09136	0.01765	292278
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.0879	0.01698	347844
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.06132	0.01185	146268
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.0577	0.01115	209268
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.05524	0.01067	166404
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.03986	0.0077	187812
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.03894	0.00752	433776
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.03362	0.0065	79098
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.02335	0.00451	82938
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.01755	0.00339	59658
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.01534	0.00296	68394
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.01157	0.00223	21138
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.01148	0.00222	22284
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.00829	0.0016	16416
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.00775	0.0015	15426
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.00672	0.0013	14688
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00668	0.00129	23268
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00637	0.00123	10668
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00608	0.00117	26262
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.00542	0.00105	11088
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00522	0.00101	0
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.00427	0.00083	12780
