#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 4AD-2m_S2_Buone_R1.fastq,4AD-2m_S2_Buone_R2.fastq --bowtie2out 4AD-2m_S2.bowtie2.bz2 --nproc 22 --input_type fastq -o 4AD-2m_S2.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:531545304
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	49.85257	-	0
k__Bacteria	2	50.14743	22.13379	531545304
k__Bacteria|p__Bacteroidetes	2|976	36.15602	15.95834	346285072
k__Bacteria|p__Firmicutes	2|1239	8.94106	3.94635	75341945
k__Bacteria|p__Bacteria_unclassified	2|35929085	2.33863	1.03221	23410576
k__Bacteria|p__Actinobacteria	2|201174	1.69519	0.74821	12130818
k__Bacteria|p__Proteobacteria	2|1224	0.47986	0.2118	4185321
k__Bacteria|p__Tenericutes	2|544448	0.30872	0.13626	1803900
k__Bacteria|p__Verrucomicrobia	2|74201	0.20318	0.08968	1794702
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02098	0.00926	133931
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00379	0.00167	15876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	32.52548	14.35591	271718508
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.82014	1.68611	21354630
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.95051	1.30228	28515318
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	2.26759	1.00086	19361724
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	2.22496	0.98204	15648120
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.50319	0.66347	9373350
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.31285	0.57946	8668956
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.58497	0.25819	4349160
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.37817	0.16692	2888892
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.36648	0.16176	2443722
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.30872	0.13626	1546200
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.20318	0.08968	1538316
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.19201	0.08475	1024494
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.17334	0.07651	1315758
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.13479	0.05949	640170
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.10773	0.04755	562464
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.10168	0.04488	698526
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.09578	0.04227	453300
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.09077	0.04006	624690
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.05788	0.02555	517098
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.05779	0.02551	310596
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.042	0.01854	539364
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.0387	0.01708	320826
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.03408	0.01504	299232
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.03252	0.01435	177222
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.02882	0.01272	210630
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.02637	0.01164	239142
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.02098	0.00926	1158516
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.02031	0.00896	115476
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.01814	0.00801	127980
k__Bacteria|p__Firmicutes|c__CFGB9528	2|1239|	0.01755	0.00775	69876
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.01689	0.00745	156432
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.0152	0.00671	68670
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.01131	0.00499	109212
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.01009	0.00445	71550
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.00959	0.00423	79428
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.00934	0.00412	39000
k__Bacteria|p__Firmicutes|c__CFGB9495	2|1239|	0.00605	0.00267	28350
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.00599	0.00264	30126
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.00393	0.00173	17868
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00379	0.00167	0
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.00365	0.00161	16500
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00267	0.00118	27180
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.00253	0.00112	26964
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.00251	0.00111	19164
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.00204	0.0009	13968
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00182	0.0008	6942
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.00152	0.00067	16332
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.00115	0.00051	11826
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00112	0.0005	9846
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.00111	0.00049	5208
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00048	0.00021	4734
k__Bacteria|p__Firmicutes|c__CFGB3507	2|1239|	0.00011	5e-05	1002
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.0001	4e-05	1086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	32.52548	14.35591	226432090
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.81918	1.68569	17789505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.44117	1.07747	21320430
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	2.26759	1.00086	16134770
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	2.22496	0.98204	13040100
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.31285	0.57946	7224130
