#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 4AD-6m_S7_Buone_R1.fastq,4AD-6m_S7_Buone_R2.fastq --bowtie2out 4AD-6m_S7.bowtie2.bz2 --nproc 22 --input_type fastq -o 4AD-6m_S7.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:165535536
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	48.98551	-	0
k__Bacteria	2	51.01449	6.94725	165535536
k__Bacteria|p__Bacteroidetes	2|976	29.50085	4.01748	85057833
k__Bacteria|p__Firmicutes	2|1239	18.4147	2.50775	51508849
k__Bacteria|p__Actinobacteria	2|201174	1.14654	0.15614	2553593
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.81116	0.11046	3089723
k__Bacteria|p__Tenericutes	2|544448	0.45739	0.06229	824593
k__Bacteria|p__Proteobacteria	2|1224	0.3705	0.05046	987777
k__Bacteria|p__Verrucomicrobia	2|74201	0.26998	0.03677	735784
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04337	0.00591	85442
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	27.85838	3.7938	69365742
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.112	0.96853	12285210
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	5.46687	0.74449	18489408
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.97239	0.2686	4056168
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	1.31483	0.17906	2877528
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.91154	0.12414	1764264
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.68888	0.09381	1494834
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.60593	0.08252	1919964
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.55475	0.07555	1272582
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.51663	0.07036	1788180
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.45739	0.06229	706794
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.33619	0.04578	793104
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.27694	0.03771	708432
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.26998	0.03677	630672
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.235	0.032	424530
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.22123	0.03013	530268
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.21875	0.02979	450036
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.20943	0.02852	586344
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.19176	0.02611	280020
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.18398	0.02506	507114
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.14927	0.02033	316398
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.10739	0.01462	274566
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.10427	0.0142	182958
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.10148	0.01382	151626
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.06768	0.00922	181098
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.06249	0.00851	136002
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.06024	0.0082	97044
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.0462	0.00629	77676
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.04337	0.00591	111798
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.04207	0.00573	56898
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.04183	0.0057	108654
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.03986	0.00543	84630
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.0272	0.0037	70908
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.02266	0.00309	51102
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.02221	0.00302	73014
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.02153	0.00293	50646
