#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 8AD-12m_S10_Buone_R1.fastq,8AD-12m_S10_Buone_R2.fastq --bowtie2out 8AD-12m_S10.bowtie2.bz2 --nproc 22 --input_type fastq -o 8AD-12m_S10.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:224993024
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	55.86561	-	0
k__Bacteria	2	44.13439	8.88983	224993024
k__Bacteria|p__Bacteroidetes	2|976	22.6893	4.57022	94900925
k__Bacteria|p__Firmicutes	2|1239	17.7597	3.57727	86907289
k__Bacteria|p__Bacteria_unclassified	2|35929085	1.34577	0.27107	7439670
k__Bacteria|p__Actinobacteria	2|201174	1.03054	0.20758	3551401
k__Bacteria|p__Tenericutes	2|544448	0.72485	0.146	1932882
k__Bacteria|p__Proteobacteria	2|1224	0.50794	0.10231	1900409
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04898	0.00987	142723
k__Bacteria|p__Verrucomicrobia	2|74201	0.01954	0.00394	78757
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00777	0.00157	14840
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	21.37985	4.30647	77499498
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.13625	2.04171	49912434
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.04135	0.41118	5189874
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.0906	0.21968	3299478
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.9298	0.18729	3009780
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.86383	0.174	4090896
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.72485	0.146	1656756
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.70636	0.14228	3310464
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.55354	0.1115	1451328
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.477	0.09608	1592730
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.39669	0.0799	285600
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.39035	0.07863	1350402
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.38112	0.07677	1194852
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.34358	0.06921	1102752
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.2988	0.06019	1130544
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.27287	0.05496	650160
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.23034	0.0464	700914
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.21824	0.04396	792858
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.20981	0.04226	544518
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.20954	0.04221	452598
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.18169	0.0366	673122
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.18156	0.03657	616026
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.16915	0.03407	639648
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.14927	0.03007	331104
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.1382	0.02784	540852
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.12682	0.02554	434070
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.12681	0.02554	441330
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.08823	0.01777	426846
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.08606	0.01734	214032
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.08599	0.01732	276816
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.07171	0.01444	225222
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.05357	0.01079	221052
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.04898	0.00987	432258
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.04763	0.00959	116820
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.03687	0.00743	78618
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.03482	0.00701	83172
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.03168	0.00638	147234
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.03028	0.0061	107334
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.02603	0.00524	49614
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.02038	0.00411	91854
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.01954	0.00394	67506
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.01895	0.00382	58650
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.01766	0.00356	85866
k__Bacteria|p__Firmicutes|c__CFGB28755	2|1239|	0.01437	0.00289	92850
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.0118	0.00238	20598
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.0099	0.00199	37716
k__Bacteria|p__Firmicutes|c__CFGB9508	2|1239|	0.00864	0.00174	20076
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00777	0.00157	0
k__Bacteria|p__Firmicutes|c__CFGB3507	2|1239|	0.0066	0.00133	26328
