#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 5AD-12m_S8_Buone_R1.fastq,5AD-12m_S8_Buone_R2.fastq --bowtie2out 5AD-12m_S8.bowtie2.bz2 --nproc 22 --input_type fastq -o 5AD-12m_S8.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:267716704
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	44.34942	-	0
k__Bacteria	2	55.65058	11.97866	267716704
k__Bacteria|p__Firmicutes	2|1239	45.72267	9.8417	178554761
k__Bacteria|p__Bacteroidetes	2|976	7.94188	1.70947	48806373
k__Bacteria|p__Actinobacteria	2|201174	1.60437	0.34534	5137335
k__Bacteria|p__Proteobacteria	2|1224	0.23268	0.05008	963235
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.14257	0.03069	772149
k__Bacteria|p__Tenericutes	2|544448	0.00641	0.00138	18263
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	34.93216	7.51907	98651298
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.69391	1.6561	41168802
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	5.99862	1.29119	33265164
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.72152	0.37055	6224970
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.26742	0.27281	3180540
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.33696	0.07253	1222890
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.23393	0.05035	976686
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.23132	0.04979	821088
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.20334	0.04377	517728
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.14792	0.03184	553272
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.10308	0.02219	485502
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.07145	0.01538	247140
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.03399	0.00732	116580
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.03027	0.00651	128328
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01369	0.00295	65940
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.00923	0.00199	0
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00641	0.00138	15654
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.00589	0.00127	15426
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.00392	0.00084	12726
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.00383	0.00082	15462
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.00215	0.00046	5952
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.00136	0.00029	4542
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.00048	0.0001	1746
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.00044	9e-05	1914
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.00042	9e-05	1644
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.00029	6e-05	1350
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.00015	3e-05	378
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	4e-05	1e-05	150
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	34.9302	7.51865	82204495
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.69391	1.6561	34307335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	5.99244	1.28986	27706245
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.72152	0.37055	5187475
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	1.22053	0.26272	2525670
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.33574	0.07227	1016205
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.23393	0.05035	813905
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.23132	0.04979	684240
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.20334	0.04377	431440
