#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 5WT-2m_S2_Buone_R1.fastq,5WT-2m_S2_Buone_R2.fastq --bowtie2out 5WT-2m_S2.bowtie2.bz2 --nproc 22 --input_type fastq -o 5WT-2m_S2.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:362101096
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	55.83539	-	0
k__Bacteria	2	44.16461	13.0883	362101096
k__Bacteria|p__Firmicutes	2|1239	26.37042	7.81495	210629636
k__Bacteria|p__Bacteroidetes	2|976	13.56155	4.019	78835876
k__Bacteria|p__Bacteria_unclassified	2|35929085	2.098	0.62175	17704029
k__Bacteria|p__Tenericutes	2|544448	1.28236	0.38003	5031033
k__Bacteria|p__Proteobacteria	2|1224	0.41457	0.12286	2251396
k__Bacteria|p__Actinobacteria	2|201174	0.39858	0.11812	2232944
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.026	0.0077	111447
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.01147	0.0034	32221
k__Bacteria|p__Verrucomicrobia	2|74201	0.00167	0.00049	9877
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.99239	4.73939	127170396
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12.28897	3.64187	62270190
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.7722	0.82155	10332828
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	1.28236	0.38003	4312314
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	1.25977	0.37334	8686548
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	1.10598	0.32776	3051564
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.90037	0.26683	6801540
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.86301	0.25575	4896738
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.68799	0.20389	3539256
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.40955	0.12137	1833594
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.35013	0.10376	1614984
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.33161	0.09827	1845012
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.33144	0.09822	1101048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.23216	0.0688	1147524
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.21137	0.06264	740982
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.18425	0.0546	845802
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.18409	0.05455	506478
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.17263	0.05116	847212
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.16641	0.04932	766428
k__Bacteria|p__Firmicutes|c__CFGB9508	2|1239|	0.16147	0.04785	481878
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.15721	0.04659	804930
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.15261	0.04523	720660
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.14318	0.04243	746814
k__Bacteria|p__Firmicutes|c__CFGB9528	2|1239|	0.12127	0.03594	324162
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.1129	0.03346	354228
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.11009	0.03263	655260
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.10435	0.03093	398472
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.09966	0.02953	554760
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.07039	0.02086	223686
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.06445	0.0191	314784
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.05748	0.01704	173352
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.05252	0.01556	187692
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.04989	0.01479	180054
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.04749	0.01407	277416
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.04416	0.01309	301962
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.0371	0.01099	171426
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.03463	0.01026	172866
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.02623	0.00777	187644
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.026	0.0077	1483836
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.02589	0.00767	110790
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.02489	0.00738	179490
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.01332	0.00395	34212
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.01214	0.0036	57480
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.01147	0.0034	0
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.01072	0.00318	69516
k__Bacteria|p__Firmicutes|c__CFGB9517	2|1239|	0.00679	0.00201	25380
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00453	0.00134	30018
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.0031	0.00092	18564
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00234	0.00069	12516
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.00188	0.00056	8970
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00167	0.00049	8466
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	15.1853	4.5002	103834695
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12.28897	3.64187	51891825
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.7722	0.82155	8610690
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	1.28236	0.38003	3593595
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	1.25977	0.37334	7238790
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	1.10598	0.32776	2542970
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.90037	0.26683	5667950
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.86301	0.25575	4080615
