#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 3WT-2m_S1_Buone_R1.fastq,3WT-2m_S1_Buone_R2.fastq --bowtie2out 3WT-2m_S1.bowtie2.bz2 --nproc 22 --input_type fastq -o 3WT-2m_S1.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:486862592
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	48.99641	-	0
k__Bacteria	2	51.00359	21.3732	486862592
k__Bacteria|p__Bacteroidetes	2|976	28.96883	12.13947	254132116
k__Bacteria|p__Firmicutes	2|1239	19.24646	8.06528	147573251
k__Bacteria|p__Bacteria_unclassified	2|35929085	1.31321	0.5503	13247129
k__Bacteria|p__Actinobacteria	2|201174	0.8226	0.34471	6317843
k__Bacteria|p__Proteobacteria	2|1224	0.4478	0.18765	3561572
k__Bacteria|p__Tenericutes	2|544448	0.17596	0.07374	976171
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.01493	0.00626	90517
k__Bacteria|p__Verrucomicrobia	2|74201	0.01164	0.00488	97594
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00216	0.0009	8575
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	26.7752	11.22022	203995686
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.31666	4.74228	60658608
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	5.74863	2.40898	51022590
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.91667	0.38413	5803254
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.76654	0.32122	5066976
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.76572	0.32088	5112936
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.73696	0.30882	5903616
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.68599	0.28747	4325610
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.52329	0.21928	776958
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.22402	0.09388	1593204
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.22378	0.09378	1459572
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.21426	0.08979	1062102
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.17596	0.07374	836718
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.11484	0.04812	810624
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.11047	0.04629	743742
k__Bacteria|p__Firmicutes|c__CFGB9495	2|1239|	0.10714	0.0449	476922
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.10251	0.04296	954192
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.0917	0.03843	449820
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.08259	0.03461	367890
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.08235	0.03451	648246
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.07814	0.03274	662736
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.07558	0.03167	290256
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.06913	0.02897	633930
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.06693	0.02805	341580
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.06249	0.02619	408324
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.05607	0.02349	348318
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.05307	0.02224	235422
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.04881	0.02045	416070
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.04418	0.01851	344412
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.03906	0.01637	202092
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.03715	0.01557	268944
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.03406	0.01427	347328
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.02985	0.01251	161178
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.02837	0.01189	121656
k__Bacteria|p__Firmicutes|c__CFGB9528	2|1239|	0.02815	0.01179	106386
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.02324	0.00974	155616
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.02211	0.00927	153444
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.01654	0.00693	167286
k__Bacteria|p__Firmicutes|c__CFGB9508	2|1239|	0.01572	0.00659	65658
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.01493	0.00626	293022
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.01459	0.00611	65556
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.01164	0.00488	83652
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.01044	0.00437	76980
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.01009	0.00423	79410
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.00916	0.00384	59442
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.0082	0.00344	29790
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.00769	0.00322	33198
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.00479	0.00201	18996
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00416	0.00174	40212
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00216	0.0009	0
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.00069	0.00029	4674
k__Bacteria|p__Firmicutes|c__CFGB3507	2|1239|	0.0001	4e-05	846
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4e-05	2e-05	402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	26.7752	11.22022	169996405
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	11.29261	4.7322	50415140
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.65516	1.95076	38335845
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.09347	0.45822	4182980
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.91667	0.38413	4836045
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.76572	0.32088	4260780
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.73696	0.30882	4919680
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.68599	0.28747	3604675
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.54361	0.2278	3193515
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.52329	0.21928	647465
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.22402	0.09388	1327670
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	0.22378	0.09378	1216310
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.22293	0.09342	1028965
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.21426	0.08979	885085
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.17596	0.07374	697265
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.11484	0.04812	675520
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.11047	0.04629	619785
k__Bacteria|p__Firmicutes|c__CFGB9495|o__OFGB9495	2|1239||	0.10714	0.0449	397435
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.10251	0.04296	795160
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.0917	0.03843	374850
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.08259	0.03461	306575
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.08235	0.03451	540205
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.07814	0.03274	552280
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.07558	0.03167	241880
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.06913	0.02897	528275
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.06693	0.02805	284650
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	2|976||	0.06249	0.02619	340270
k__Bacteria|p__Firmicutes|c__CFGB9511|o__OFGB9511	2|1239||	0.05307	0.02224	196185
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.04881	0.02045	346725
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.04652	0.0195	251825
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.04418	0.01851	287010
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.03906	0.01637	168410
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.03715	0.01557	224120
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.03406	0.01427	289440
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.02985	0.01251	134315
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.02837	0.01189	101380
k__Bacteria|p__Firmicutes|c__CFGB9528|o__OFGB9528	2|1239||	0.02815	0.01179	88655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.02405	0.01008	133700
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.02324	0.00974	129680
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.02211	0.00927	127870
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.01654	0.00693	139405
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508	2|1239||	0.01572	0.00659	54715
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197	2|976||	0.01493	0.00626	244185
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.01459	0.00611	54630
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.01164	0.00488	69710
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349	2|1239||	0.01044	0.00437	64150
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.01009	0.00423	66175
