#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 9WT-6m_S3_Buone_R1.fastq,9WT-6m_S3_Buone_R2.fastq --bowtie2out 9WT-6m_S3.bowtie2.bz2 --nproc 22 --input_type fastq -o 9WT-6m_S3.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:177776960
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	55.20729	-	0
k__Bacteria	2	44.79271	6.7614	177776960
k__Bacteria|p__Firmicutes	2|1239	23.98651	3.62073	90737234
k__Bacteria|p__Bacteroidetes	2|976	16.23491	2.45064	48840344
k__Bacteria|p__Bacteria_unclassified	2|35929085	2.99984	0.45282	11723908
k__Bacteria|p__Actinobacteria	2|201174	0.72017	0.10871	2027935
k__Bacteria|p__Proteobacteria	2|1224	0.68902	0.10401	1902397
k__Bacteria|p__Tenericutes	2|544448	0.12064	0.01821	241080
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02974	0.00449	64946
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.01188	0.00179	16996
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	14.96282	2.25862	39026736
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.38529	2.17144	53571960
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.34823	0.50541	6384552
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	1.62203	0.24484	5451354
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.9165	0.13834	2800068
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.83035	0.12534	2305296
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.74647	0.11268	1946304
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.69716	0.10524	2373198
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.6608	0.09975	1499808
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.63974	0.09657	1981542
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.608	0.09178	1428462
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.45548	0.06875	1135416
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.38332	0.05786	921978
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.31791	0.04799	901410
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.26469	0.03995	602814
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.24104	0.03638	549666
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.22774	0.03438	381174
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.19743	0.0298	352518
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.17703	0.02672	501684
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.15791	0.02384	401508
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.13632	0.02058	328848
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.13211	0.01994	381810
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.12841	0.01938	424188
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.12528	0.01891	243666
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.12064	0.01821	206640
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.11167	0.01686	406908
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.10547	0.01592	185130
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.10006	0.0151	242736
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.09844	0.01486	275904
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.09459	0.01428	132486
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.08869	0.01339	208746
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.08473	0.01279	311934
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.08242	0.01244	214950
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.08102	0.01223	202164
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.05403	0.00816	162234
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.05322	0.00803	195516
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.04091	0.00618	142500
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.0407	0.00614	75846
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.03612	0.00545	66390
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.02983	0.0045	100752
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.02974	0.00449	335610
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.02656	0.00401	40986
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.01599	0.00241	25554
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.01188	0.00179	0
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.01154	0.00174	18678
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.00972	0.00147	22734
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.00631	0.00095	14628
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.00439	0.00066	6270
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00307	0.00046	4014
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.0015	0.00023	2334
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00123	0.00019	3342
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.00084	0.00013	2940
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.00051	8e-05	1278
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	14.96282	2.25862	32522280
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	13.90061	2.09828	43931990
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.34747	0.5053	5318785
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	1.62203	0.24484	4542795
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.9165	0.13834	2333390
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.83035	0.12534	1921080
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.74647	0.11268	1621920
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.69716	0.10524	1977665
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.6608	0.09975	1249840
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.63974	0.09657	1651285
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	0.608	0.09178	1190385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.48468	0.07316	711310
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.4165	0.06287	881370
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.38332	0.05786	768315
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.31791	0.04799	751175
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.25261	0.03813	484825
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.24104	0.03638	458055
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.22774	0.03438	317645
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.19743	0.0298	293765
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.17703	0.02672	418070
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.15791	0.02384	334590
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.13632	0.02058	274040
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.13211	0.01994	318175
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.12841	0.01938	353490
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.12528	0.01891	203055
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.12064	0.01821	172200
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.11167	0.01686	339090
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.10547	0.01592	154275
k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371	2|1239||	0.10006	0.0151	202280
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.09844	0.01486	229920
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.09459	0.01428	110405
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	2|976||	0.08869	0.01339	173955
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.08473	0.01279	259945
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.08242	0.01244	179125
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.08102	0.01223	168470
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.05403	0.00816	135195
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.05322	0.00803	162930
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644	2|35929085||	0.04091	0.00618	118750
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.0407	0.00614	63205
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.03898	0.00588	64810
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.03612	0.00545	55325
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.02983	0.0045	83960
k__Bacteria|p__Bacteroidetes|c__CFGB10197|o__OFGB10197	2|976||	0.02974	0.00449	279675
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.02656	0.00401	34155
k__Bacteria|p__Firmicutes|c__CFGB9511|o__OFGB9511	2|1239||	0.01599	0.00241	21295
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.01208	0.00182	17520
k__Bacteria|p__Proteobacteria|c__CFGB9318|o__OFGB9318	2|1224||	0.01188	0.00179	0
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.01154	0.00174	15565
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850	2|1239||	0.00972	0.00147	18945
k__Bacteria|p__Firmicutes|c__CFGB9575|o__OFGB9575	2|1239||	0.00631	0.00095	12190
k__Bacteria|p__Firmicutes|c__CFGB31439|o__OFGB31439	2|1239||	0.00439	0.00066	5225
k__Bacteria|p__Firmicutes|c__CFGB9510|o__OFGB9510	2|1239||	0.00307	0.00046	3345
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253	2|1239||	0.0015	0.00023	1945
k__Bacteria|p__Firmicutes|c__CFGB9836|o__OFGB9836	2|1239||	0.00123	0.00019	2785
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	0.00084	0.00013	2450
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00076	0.00011	1675
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.00051	8e-05	1065
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	11.67667	1.76258	30835888
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	8.02855	1.2119	16375608
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	3.34604	0.50508	4253356
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.22339	0.48657	3780500
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|	2.21278	0.33402	3302892
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2|35929085|||	1.62203	0.24484	3634236
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.49461	0.22561	2852084
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636|f__FGB9636	2|1239|||	0.9165	0.13834	1866712
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.85554	0.12914	1350624
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596|f__FGB9596	2|1239|||	0.83035	0.12534	1536864
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348|f__FGB10348	2|1239|||	0.74647	0.11268	1297536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.70437	0.10632	1399096
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157	2|1239|||	0.69716	0.10524	1582132
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.6608	0.09975	999872
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123|f__FGB8123	2|35929085|||	0.63974	0.09657	1321028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.60921	0.09196	1105344
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469|f__FGB9469	2|1224|||	0.608	0.09178	952308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.48468	0.07316	569048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.4165	0.06287	705096
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636|f__FGB636	2|976|||	0.38332	0.05786	614652
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618|f__FGB9618	2|1239|||	0.31791	0.04799	600940
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0.25261	0.03813	387860
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388|f__FGB9388	2|976|||	0.24104	0.03638	366444
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299	2|1239|||	0.22774	0.03438	254116
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395|f__FGB9395	2|976|||	0.19743	0.0298	235012
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990|f__FGB9990	2|1239|||	0.17703	0.02672	334456
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637|f__FGB637	2|976|||	0.15791	0.02384	267672
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960|f__FGB9960	2|1239|||	0.13632	0.02058	219232
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633	2|1239|||	0.13211	0.01994	254540
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800|f__FGB28800	2|1239|||	0.12841	0.01938	282792
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827	2|1239|||	0.12528	0.01891	162444
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmatales_unclassified	2|544448|31969|186329|730680	0.12064	0.01821	137760
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639|f__FGB9639	2|1239|||	0.11167	0.01686	271272
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516|f__FGB9516	2|1239|||	0.10547	0.01592	123420
k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371|f__FGB11371	2|1239|||	0.10006	0.0151	161824
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658|f__FGB9658	2|1239|||	0.09844	0.01486	183936
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512	2|1239|||	0.09459	0.01428	88324
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425	2|976|||	0.08869	0.01339	139164
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479	2|1239|||	0.08473	0.01279	207956
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629|f__FGB9629	2|1239|||	0.08242	0.01244	143300
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.08102	0.01223	134776
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941|f__FGB28941	2|1239|||	0.05403	0.00816	108156
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659|f__FGB9659	2|1239|||	0.05322	0.00803	130344
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644	2|35929085|||	0.04091	0.00618	95000
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340|f__FGB10340	2|1239|||	0.0407	0.00614	50564
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.03898	0.00588	51848
