#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 2WT-12m_S1_Buone_R1.fastq,2WT-12m_S1_Buone_R2.fastq --bowtie2out 2WT-12m_S1.bowtie2.bz2 --nproc 22 --input_type fastq -o 2WT-12m_S1.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:194383032
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	47.70892	-	0
k__Bacteria	2	52.29108	8.47236	194383032
k__Bacteria|p__Bacteroidetes	2|976	26.89366	4.35739	92428217
k__Bacteria|p__Firmicutes	2|1239	23.31017	3.77679	69952365
k__Bacteria|p__Bacteria_unclassified	2|35929085	1.12532	0.18233	4813599
k__Bacteria|p__Actinobacteria	2|201174	0.55193	0.08943	1698592
k__Bacteria|p__Proteobacteria	2|1224	0.35484	0.05749	1090565
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0282	0.00457	43330
k__Bacteria|p__Tenericutes	2|544448	0.02347	0.0038	50330
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00348	0.00056	8155
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	24.62438	3.98972	73905030
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	11.86998	1.92321	27534048
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.07194	0.82177	10417782
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.98918	0.64634	15177426
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.84255	0.13651	3115872
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.75315	0.12203	1944420
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.73538	0.11915	1409412
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.49732	0.08058	1513578
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.47766	0.07739	1275642
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.46654	0.07559	1214778
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.30939	0.05013	844416
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.29016	0.04701	710244
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.28799	0.04666	505890
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.24692	0.04001	662628
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.18546	0.03005	509886
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.17915	0.02903	675378
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.15642	0.02534	512958
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.10794	0.01749	215922
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.10792	0.01748	272142
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.09187	0.01489	304992
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.09076	0.01471	229302
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.08174	0.01324	207690
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.07427	0.01203	180294
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.07377	0.01195	145560
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.06349	0.01029	193116
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.04077	0.00661	144558
k__Bacteria|p__Firmicutes|c__CFGB9495	2|1239|	0.03502	0.00567	60276
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.0282	0.00457	0
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.02777	0.0045	108606
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.02603	0.00422	69846
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.02555	0.00414	44322
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.02541	0.00412	53040
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.02347	0.0038	43140
k__Bacteria|p__Firmicutes|c__CFGB9508	2|1239|	0.01875	0.00304	35052
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.01771	0.00287	51366
