#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 9AD-2m_S9_Buone_R1.fastq,9AD-2m_S9_Buone_R2.fastq --bowtie2out 9AD-2m_S9.bowtie2.bz2 --nproc 22 --input_type fastq -o 9AD-2m_S9.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:260127008
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	54.50578	-	0
k__Bacteria	2	45.49422	10.1145	260127008
k__Bacteria|p__Bacteroidetes	2|976	19.45154	4.32456	90843109
k__Bacteria|p__Firmicutes	2|1239	17.79857	3.95706	96479257
k__Bacteria|p__Bacteria_unclassified	2|35929085	5.31549	1.18177	28875735
k__Bacteria|p__Proteobacteria	2|1224	1.51922	0.33776	6185011
k__Bacteria|p__Actinobacteria	2|201174	1.32625	0.29486	4963476
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.07586	0.01687	243985
k__Bacteria|p__Tenericutes	2|544448	0.0062	0.00138	18249
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0011	0.00024	2310
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	17.67106	3.92872	71765592
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.30231	2.51278	59843856
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	4.7826	1.06329	22229004
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.17914	0.48448	6126660
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	1.35771	0.30185	4698168
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	1.16127	0.25818	4455696
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.91748	0.20398	3119886
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.76267	0.16956	2531682
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.66159	0.14709	2343738
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.56357	0.1253	1722726
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	0.42532	0.09456	1428534
k__Bacteria|p__Firmicutes|c__CFGB9596	2|1239|	0.41826	0.09299	1710288
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.3404	0.07568	1274826
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.33582	0.07466	1534950
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.22459	0.04993	1010622
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.19309	0.04293	1061136
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.17088	0.03799	607164
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.16151	0.03591	603270
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.16144	0.03589	594372
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.16015	0.0356	382554
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.1494	0.03322	427980
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.11791	0.02622	639336
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.09184	0.02042	318384
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.08506	0.01891	223698
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.07586	0.01687	408642
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.0568	0.01263	241788
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.03771	0.00838	102108
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.03548	0.00789	97398
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.03363	0.00748	140436
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.03352	0.00745	139902
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.03195	0.0071	165270
k__Bacteria|p__Firmicutes|c__CFGB9511	2|1239|	0.03034	0.00675	71406
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.02451	0.00545	56148
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.02308	0.00513	52566
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.01954	0.00435	82800
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.0175	0.00389	46518
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01636	0.00364	81372
k__Bacteria|p__Firmicutes|c__CFGB31439	2|1239|	0.01629	0.00362	34260
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.0159	0.00354	85350
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.0127	0.00282	48762
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.01138	0.00253	27846
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.01018	0.00226	24264
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.00838	0.00186	28866
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00677	0.0015	13038
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.0062	0.00138	15642
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.00417	0.00093	16314
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.0041	0.00091	19926
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00397	0.00088	20376
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.0037	0.00082	20022
k__Bacteria|p__Firmicutes|c__CFGB9517	2|1239|	0.00127	0.00028	3570
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.0011	0.00024	0
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00102	0.00023	4512
k__Bacteria|p__Firmicutes|c__CFGB9836	2|1239|	0.00085	0.00019	3420
k__Bacteria|p__Firmicutes|c__CFGB28755	2|1239|	0.00063	0.00014	4518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	17.67106	3.92872	59804660
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	9.9381	2.20949	46475095
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	4.7826	1.06329	18524170
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.17914	0.48448	5105550
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.3642	0.3033	3394785
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	1.35771	0.30185	3915140
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	1.16127	0.25818	3713080
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.91748	0.20398	2599905
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.66159	0.14709	1953115
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	0.42532	0.09456	1190445
k__Bacteria|p__Firmicutes|c__CFGB9596|o__OFGB9596	2|1239||	0.41826	0.09299	1425240
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.39867	0.08863	1218350
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.36577	0.08132	1012825
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.36401	0.08093	891385
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.3404	0.07568	1062355
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.33582	0.07466	1279125
k__Bacteria|p__Firmicutes|c__CFGB9636|o__OFGB9636	2|1239||	0.22459	0.04993	842185
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.19781	0.04398	422780
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.19309	0.04293	884280
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.17088	0.03799	505970
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.16151	0.03591	502725
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	2|1239||	0.16144	0.03589	495310
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.16015	0.0356	318795
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.1494	0.03322	356650
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.11791	0.02622	532780
