#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 3WT-6m_S1_Buone_R1.fastq,3WT-6m_S1_Buone_R2.fastq --bowtie2out 3WT-6m_S1.bowtie2.bz2 --nproc 22 --input_type fastq -o 3WT-6m_S1.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:166076816
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	55.57429	-	0
k__Bacteria	2	44.42571	5.90663	166076816
k__Bacteria|p__Firmicutes	2|1239	23.89118	3.17646	85777174
k__Bacteria|p__Bacteroidetes	2|976	15.43877	2.05266	43581447
k__Bacteria|p__Bacteria_unclassified	2|35929085	3.69609	0.49141	12785787
k__Bacteria|p__Actinobacteria	2|201174	0.66889	0.08893	1611911
k__Bacteria|p__Proteobacteria	2|1224	0.37217	0.04948	924035
k__Bacteria|p__Tenericutes	2|544448	0.3161	0.04203	556367
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.0406	0.0054	78092
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0019	0.00025	2401
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.74321	2.09314	53507982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	14.3617	1.90946	35143080
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	1.7264	0.22953	5100138
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	1.25629	0.16703	1970688
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	1.19285	0.15859	3690090
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.14715	0.15252	1935672
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.89736	0.11931	1795842
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.68492	0.09106	1872150
k__Bacteria|p__Firmicutes|c__CFGB9636	2|1239|	0.57059	0.07586	1535874
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.56015	0.07447	1275774
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.51663	0.06869	1290258
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.48804	0.06489	1033926
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.4525	0.06016	976482
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.41059	0.05459	620784
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.3161	0.04203	476886
k__Bacteria|p__Firmicutes|c__CFGB11371	2|1239|	0.24266	0.03226	518478
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.23901	0.03178	596610
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.2349	0.03123	526092
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.21639	0.02877	405156
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.21176	0.02815	438204
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.20257	0.02693	347022
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.18135	0.02411	385344
