#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/favero/.local/bin/metaphlan -t rel_ab_w_read_stats --unclassified_estimation 2WT-2m_S1_Buone_R1.fastq,2WT-2m_S1_Buone_R2.fastq --bowtie2out 2WT-2m_S1.bowtie2.bz2 --nproc 22 --input_type fastq -o 2WT-2m_S1.metaphlan.txt
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:215793160
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	45.84855	-	0
k__Bacteria	2	54.15145	9.43788	215793160
k__Bacteria|p__Bacteroidetes	2|976	33.80136	5.89113	125837019
k__Bacteria|p__Firmicutes	2|1239	18.9207	3.29763	57851997
k__Bacteria|p__Bacteria_unclassified	2|35929085	0.53625	0.09346	2155454
k__Bacteria|p__Actinobacteria	2|201174	0.49399	0.0861	1661093
k__Bacteria|p__Proteobacteria	2|1224	0.38522	0.06714	1281539
k__Bacteria|p__Tenericutes	2|544448	0.01311	0.00228	30240
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00044	8e-05	721
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00038	7e-05	952
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	31.24566	5.4457	101357850
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	12.95052	2.2571	28507356
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.01962	0.70057	14984418
k__Bacteria|p__Bacteroidetes|c__CFGB9388	2|976|	1.02492	0.17863	2698638
k__Bacteria|p__Bacteroidetes|c__CFGB9395	2|976|	0.54065	0.09423	1114638
k__Bacteria|p__Bacteroidetes|c__CFGB636	2|976|	0.47378	0.08257	1315746
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.44359	0.07731	1300170
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.4293	0.07482	1088472
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.32012	0.05579	921882
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2|35929085|	0.29364	0.05118	912498
k__Bacteria|p__Firmicutes|c__CFGB9660	2|1239|	0.25875	0.0451	1049298
k__Bacteria|p__Bacteroidetes|c__CFGB637	2|976|	0.23126	0.04031	678936
k__Bacteria|p__Firmicutes|c__CFGB8157	2|1239|	0.22889	0.03989	399510
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.21923	0.03821	412866
k__Bacteria|p__Firmicutes|c__CFGB9618	2|1239|	0.20149	0.03512	659652
k__Bacteria|p__Firmicutes|c__CFGB10348	2|1239|	0.15032	0.0262	454014
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.14773	0.02575	626634
k__Bacteria|p__Bacteroidetes|c__CFGB4425	2|976|	0.14554	0.02537	395520
k__Bacteria|p__Bacteroidetes|c__CFGB9384	2|976|	0.12482	0.02175	264912
k__Bacteria|p__Proteobacteria|c__CFGB9469	2|1224|	0.06509	0.01135	176580
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.05041	0.00879	123624
k__Bacteria|p__Firmicutes|c__CFGB9516	2|1239|	0.04539	0.00791	95364
k__Bacteria|p__Firmicutes|c__CFGB9658	2|1239|	0.04111	0.00717	141648
k__Bacteria|p__Firmicutes|c__CFGB28800	2|1239|	0.04048	0.00706	154410
k__Bacteria|p__Firmicutes|c__CFGB9990	2|1239|	0.03245	0.00566	106170
k__Bacteria|p__Firmicutes|c__CFGB28398	2|1239|	0.0316	0.00551	56226
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.01894	0.0033	70824
k__Bacteria|p__Firmicutes|c__CFGB9528	2|1239|	0.01824	0.00318	28674
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.01823	0.00318	36804
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.01337	0.00233	37230
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.01326	0.00231	29778
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01311	0.00228	25920
k__Bacteria|p__Firmicutes|c__CFGB9850	2|1239|	0.01267	0.00221	34194
k__Bacteria|p__Firmicutes|c__CFGB10340	2|1239|	0.01259	0.00219	27078
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123	2|35929085|	0.01145	0.002	40572
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.00686	0.0012	21030
k__Bacteria|p__Firmicutes|c__CFGB9639	2|1239|	0.00588	0.00102	24720
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.00544	0.00095	23136
k__Bacteria|p__Firmicutes|c__CFGB9510	2|1239|	0.00538	0.00094	8118
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.00463	0.00081	13950
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644	2|35929085|	0.00226	0.00039	9102
k__Bacteria|p__Firmicutes|c__CFGB9575	2|1239|	0.00224	0.00039	5982
k__Bacteria|p__Proteobacteria|c__CFGB9318	2|1224|	0.00044	8e-05	0
k__Bacteria|p__Bacteroidetes|c__CFGB10197	2|976|	0.00038	7e-05	34062
k__Bacteria|p__Firmicutes|c__CFGB9650	2|1239|	0.00016	3e-05	450
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	31.24566	5.4457	84464875
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	12.95052	2.2571	23756130
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.92803	0.51032	10751455
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.09159	0.19025	1735560
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	2|976||	1.02492	0.17863	2248865
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	2|976||	0.54065	0.09423	928865
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	2|976||	0.47378	0.08257	1096455
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.4293	0.07482	907060
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.42872	0.07472	1054940
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.32012	0.05579	768235
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|35929085||	0.29364	0.05118	760415
k__Bacteria|p__Firmicutes|c__CFGB9660|o__OFGB9660	2|1239||	0.25875	0.0451	874415
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	2|976||	0.23126	0.04031	565780
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	2|1239||	0.22889	0.03989	332925
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.21923	0.03821	344055
k__Bacteria|p__Firmicutes|c__CFGB9618|o__OFGB9618	2|1239||	0.20149	0.03512	549710
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2|1239||	0.15032	0.0262	378345
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.14773	0.02575	522195
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	2|976||	0.14554	0.02537	329600
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	2|976||	0.12482	0.02175	220760
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	2|1224||	0.06509	0.01135	147150
k__Bacteria|p__Firmicutes|c__CFGB9516|o__OFGB9516	2|1239||	0.04539	0.00791	79470
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	2|1239||	0.04111	0.00717	118040
k__Bacteria|p__Firmicutes|c__CFGB28800|o__OFGB28800	2|1239||	0.04048	0.00706	128675
k__Bacteria|p__Firmicutes|c__CFGB9990|o__OFGB9990	2|1239||	0.03245	0.00566	88475
k__Bacteria|p__Firmicutes|c__CFGB28398|o__OFGB28398	2|1239||	0.0316	0.00551	46855
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.02925	0.0051	67575
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	2|201174|1760|85011	0.02116	0.00369	35445
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.01894	0.0033	59020
k__Bacteria|p__Firmicutes|c__CFGB9528|o__OFGB9528	2|1239||	0.01824	0.00318	23895
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512	2|1239||	0.01823	0.00318	30670
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.01486	0.00259	28535
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.01337	0.00233	31025
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.01326	0.00231	24815
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.01311	0.00228	21600
k__Bacteria|p__Firmicutes|c__CFGB9850|o__OFGB9850	2|1239||	0.01267	0.00221	28495
k__Bacteria|p__Firmicutes|c__CFGB10340|o__OFGB10340	2|1239||	0.01259	0.00219	22565
k__Bacteria|p__Bacteria_unclassified|c__CFGB8123|o__OFGB8123	2|35929085||	0.01145	0.002	33810
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349	2|1239||	0.00686	0.0012	17525
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639	2|1239||	0.00588	0.00102	20600
